Suite,Number,Card,Sign,Sign ASCII,Planet,Degrees,Sephiroth,Word,Done,Text
Wands,1,Ace,Cancer - Leo - Virgo,♋♌♍,,,Kether,,0,"The root of the powers of fire. This card represents the essence of the element of Fire it its inception. solar-phallic outburst of flame from which spring lightnings in every direction. The Tarot Ace of Wands is the essence of the Spirit World of Creativity; the time of Spring and the space of South. The Ace of Wands represents Spiritual self-realization, awakening and is known as the symbol of the uncontainable life-force that's is with-in and all around us; electric microw-waves and yet is shaped and formed by the Abysmal Womb who is magnetism."
Wands,2,Two,Airies,♈,Mars,0 - 10,Chokmah,Dominion,1,"Lord of Dominion and whose zodiacal attribution is Mars in Aries. Mars being the planet of vitality, energy, and assertion: Aries is the astrological symbol of exploration and pioneering."
Wands,3,Three,Airies,♈,Sol,10 - 20,Binah,Virtue,0,"Lord of established Strength. Represents the Spiritual Integrity, Honesty, that is the Virtue of Spirit, Mind and body, in total agreement.Represents the Spiritual Integrity, Honesty, that is the Virtue of Spirit, Mind and body, in total agreement."
Wands,4,Four,Airies,♈,Venus,20 - 30,Chesed,Completion,1,"Lord of Perfected Works. Venus in Aries, indicates that one's work can't be accomplished without tact and gentleness. Completion and limitation of the original work. Indicates a balance has been maintained by the Original Will without any need to go beyond this limited scope. Limitation is required to make form"
Wands,5,Five,Leo,♌,Saturn,0 - 10,Geburah,Strife,0,"Astrologically the 5 of Wands card is Saturn in Leo. Since Leo is a fire sign, this represents quarreling and strife that comes from an outpouring of force that is both agitated and disturbing. a confusion of ideas and retribution which is the active power of re-balance. a moment of strife in the petty obstacles of life and love where nothing seems to work out right in work or play."
Wands,6,Six,Leo,♌,Jupiter,10 - 20,Tipareth,Victory,1,"definite accomplishment and carrying out of a matter. Success with the result of effort, is the underlying current of all 6's. In the World of energy, Atziluth, this means Victory. Where as in Briah, the World of Pleasure, happiness is a direct result of working for it. In the world of quarreling and Strife, Yetzirah, strife brings success. While, in Assiah, the world of business, and commerce among men, this means material success. THE Thoth 6 OF WANDS-VICTORY: Lord of Victory. Here Jupiter is in the constellation of Leo, and the Angels of the Decan are: Nelokhiel and Yeyayel. In the 6 of Wands, we have the benevolence of Jupiter in the Fiery Sign of Leo (Sun) which brings success and warm relationships. However, it is an aspect that suggest some drama and of victory after great effort."
Wands,7,Seven,Leo,♌,Mars,20 - 30,Netzach,Valour,1,"Astrologically this 7 card represents Mars in Leo. Mars in Leo is a position of courage and strength but a clash is certain, whereas, victory is not. Qabalistically, this card is the influence of Netzach (victory) in Atziluth (World of Pure Spirit). This card is about opposition and possible victory, depending on the amount of courage exercised by the querent. Order, depends on the Valour of the individual, as everyone else, associated with the issue is in chaos."
Wands,8,Eight,Sagitarius,♐,Mercury,0 - 10,Hod,Swiiftmess,1,"The card of high velocity energy. The Thoth 8 of Wands is called SWIFTNESS, and it is attributed to Mercury in the constellation of Sagittarius, making it Swift indeed! Here is represented the ethereal (invisible) aspect of pure fire where all gross-material aspects are removed. Therefore, fire is no longer conjoined with ideas of combustion and incineration. Hence, in the 8 of Wands, fire is represented as energy in its most exalted state and suggest electrical current and/or ""pure light"" in its material sense. Sagittarius represents light as the rainbow and that is shown on the card, as well as electrical current being shown as lightning bolts, throughout the ""as above so below"" design of the cubed diamond."
Wands,9,Nine,Sagitarius,♐,Moon,10 - 20,Yesod,Strength,0,"The Thoth Tarot- 9 of Wands: STRENGTH. 9 is also the number of Yesod (Foundation) on the Tree of Life which brings energy back into balance. Therefore, the equal balance of the Male-electric and the Female-magnetic in our Mind, body and Soul, is a complete tensile Strength that cannot be defeated. Since, astrologically this card is Moon in Sagittarius, the Lunar powers of reflection and illusion acquire great strength in Sagittarius which is a double sided coin."
Wands,10,Ten,Sagitarius,♐,Saturn,20 - 30,Malkuth,Oppression,1,"Culminating, completed Force; Astrologically, this tarot card represents Saturn in the constellation of Sagittarius, amplifying the destructive power of Saturn with the swiftness of Sagittarius. Qabalistically, the Tarot 10 of Wands is symbolic of the influence of Malkuth (Kingdom of Earth) in Atziluth (World of Pure Spirit) leading to material force selfishly applied. Pure Spirit is Pure Mind, and as many of us know Pure Mind is without empathy, so force is applied without concern over ""collateral damage""."
Wands,11,Knight,Scorpio - Sagitarius,♏♐,,20 - 20,,,0,"Fire OF Fire. The Lord of the Flame and the Lightning, The King of the Spirits of Fire King of the Salamanders. The Knight or King of Wands is the motive force behind the Alchemical Fire or Primal Fire (The Thoth Knight, carries the same wand as the Ace of Wands to illustrate this point) on the Qabalistic Tree of Life. This is a fiery personality with great motivational ability. Old perceptions are being destroyed as fuel on this fire, so that new extended and liberated perspective gives birth to spiritual insight. You may call this positive male-power, as in electrical polarity, that forms a swift and occasionally violent personality with the capacity to accomplish long-term goals and handling extremely complex situations but is most often fierce, impetuous, impulsive and tends to act unpredictably."
Wands,12,Queen,Pisces - Aries,♓♈,,20 - 20 ,,,1,"Water of fire The Queen of the Thrones of Flame; Queen of the Salamanders. Represents the spiritual self-discoverer/ the knower of self. This Queenly Archetype, is a personality that lives the axiom of the Qabala and its' tarot cards, ""Above all things, know thyself"". The Queen of Wands card symbolizes the Specific Water in the World of Fire (Consciousness in Spirit). the mysteries of the Watery part of Fire ; the part that flows and waves as water. What can be simply said here, is that Fire is Spirit and the Watery part of Spirit is ""spiritual intelligence"" or the Conscious Spirit"
Wands,13,Prince,Cancer - Leo,♋♌,,20 - 20,,,1,"Air of Fire. The Prince of the Chariot of Fire; Prince and Emperor of the Salamanders. He is romantic especially in matters of history and tradition, to the point of folly, and may engineer ""stunts"" or play elaborate practical jokes. He is often violent, especially in the expression of an opinion, but he does not necessarily hold the opinion about which he is so emphatic... His character is intensely noble and generous. He may be an extravagant boaster. while slyly laughing both at the object of his boast and at himself for making it..it... His courage is fanatically strong, and his endurance indefatigable. He is always fighting against odds, and always wins in the long the very long--run. it's a dynamic ""rockin' "" card! The Prince of Wands is the Principle of Mastery of inspired creativity! The Prince Of Wands, represents the Sun Warrior not only does he represent swiftness, strength, brilliance and agility, he is also the paradigm of dynamic mastery of unlimited creative expression from deep ""within""; from the Universal Source. He is a Prometheus, a Titan of Fiery Creation. The causally thrown reins over his wrist, symbolizes the inspired creativity that is not held back and is free to manifest and express itself. The Solar Lion freely pulling the Chariot, symbolizes self trust in letting the creative process flow, without restriction nor restraint. The contained fire in the chariot, is focused concentration and attention to manifest one's creativity that comes from above (The chariot is coming down from the heavens)."
Wands,14,Princess,Cancer - Leo - Virgo,♋♌♍,,,,,1,"Earth of fire. Original Titles: The Princess of the Shining Flame; The Rose of the Palace of Fire; Princess and Empress of the Salamanders. THE PRINCESS OF WANDS: represents the Earthly part of Fire. She is the expression of the irresistible action of a combustible substance and rules from the Heavens from one quadrant around the North Pole (She=Magnetic Force). It is interesting to note, that the Female Force gives Form to the Fiery-electric male force, which in its primeval stage, as the Ace of Wands, is unwilled, unformed and indirect. But like the Magnetic Field of Earth, giving form to the Solar rays, not unlike the Aurora in the night sky, She justifies the direction of this male Force."
Cups,1,Ace,Libra - Scorpio - Sagitarius,♎♏♐,,,Kether,,1,"The root of the powers of the water. Is Kether in Briah, the Creative World, depicting the influence of Kether on the Mental Level. The Ace of Cups is the Root Powers of Water, an element used to symbolize the Unconsciousness and emotions when in combination with Fire, which is known as Water's Consort. the wave action characteristic of physical water implying the activity that encloses and directs pure consciousness, as the Womb of consciousness is the Universal Collective Unconscious and/or The Divine Creative. As the Universe of Energy is woven out of waves of consciousness, and/or ideas that are understood. "
Cups,2,Two,Cancer,♋,Venus,0 - 10,Chokmah,Love,0,"This card might really be renamed the Lord of Love under Will for that is its full and true meaning. It shows the harmony of the male and the female: interpreted in the largest sense. It is perfect and placid harmony, radiating a intensity of joy and ecstasy."
Cups,3,Three,Cancer,♋,Mercury,10 - 20,Binah,Abundance,0,"Emotional abundance, joy, celebration, and sharing the wonder of life. This is a sharing experience and can represent the flowing of love and positive feeling. Sharing pleasure together, having fun with others. Mercury, is the symbol of communication. Cancer, is the ability to communicate the emotional feelings one has especially the nurturing, loving, and light feelings one has as represented by the golden lotus blossoms spraying the ""pollen of golden light"", or the Night Sun's Water into the pomegranate cups."
Cups,4,Four,Cancer,♋,Moon,20 - 30,Chesed,Luxury,0,"Lord of Blended Pleasure. four is Chesed, the sphere of generous, expan-sive, and beneficent Jupiter. Jupiter is exalted in Cancer, and Cancer is ruled by the Moon. Can the components of one card get any cozier? No, but, in this case, familiarity is starting to breed contempt and eventually enough will be enough. an abandonment to desire, causing one to overly fantasize. Like the Demiurge itself, the Four of Cups, in its self-absorbed arrogance, thinks Luxury is the god of the suit of Cups all the while never dreaming that it owes its very existence to the sublime true gods of the supernal triad, the Ace, Two, and Three of Cups."
Cups,5,Five,Scorpio,♏,Mars,0 - 10,Geburah,Disappointment,1,"Lord of loss in pleasure. However, the powerful masculine-expressive aspect of Mars ruling Scorpio, slows down the putrefaction so that it is internal and not external, frustrating the anticipated pleasure that is emotionally sought. But it still looks good, so we think there is something wrong with ourselves, rather than the goal."
Cups,6,Six,Scorpio,♏,Sol,10 - 20,Tipareth,Pleasure,1,"The Sun is outrageously happy to be in Tiphareth and shines on the uble warmth and pleasantness on the sensuous and fun-loving side of Scorpio. Pleasure, in the title of this card, must be understood in its highest sense: it implies well-being, harmony of natural forces without effort or strain, ease, satisfaction. Foreign to the idea of the card is the gratification of natural or artificial desires. Yet it does represent emphatically the fulfillment of the sexual Will, as shown by the ruling Sephira, planet, element, and sign. "
Cups,7,Seven,Scorpio,♏,Venus,20 - 30,Netzach,Debauch,0,"Lord of Illusionary Success. This is one of the worst ideas that one can have; its mode is poison, its goal madness. It represents the delusion of Delirium Tremens and drug addic-tion; it represents the sinking into the mire of false pleasure. There is something almost suicidal in this card. Venus represents love and beauty but is all superficial, while inside, Venus is corrupted with thoughts of vanity etc., while Scorpio represents transformation and deep-emotional exploration and is noted for ""its deep inner secret life"". The clash of emotion is apparent in this union. Since, Venus is in the zodiacal sign of Scorpio, it's creating a very intense and emotional presence that is often involved in deceit."
